Dealer_ID,Dealer_Name,Month,Model,Sales_Qty,Revenue
1001,BMW Showroom 1,2024-01,BMW 320i,11,186278
1001,BMW Showroom 1,2024-01,BMW 330i,13,46950
1001,BMW Showroom 1,2024-01,BMW 530i,11,454142
1001,BMW Showroom 1,2024-01,BMW X3,13,206900
1001,BMW Showroom 1,2024-01,BMW X5,1,397797
1001,BMW Showroom 1,2024-01,BMW X7,3,398825
1001,BMW Showroom 1,2024-01,BMW M440i,1,312683
1001,BMW Showroom 1,2024-01,BMW i7,8,312326
1001,BMW Showroom 1,2024-02,BMW 320i,5,373403
1001,BMW Showroom 1,2024-02,BMW 330i,4,95042
1001,BMW Showroom 1,2024-02,BMW 530i,11,257758
1001,BMW Showroom 1,2024-02,BMW X3,14,177129
1001,BMW Showroom 1,2024-02,BMW X5,9,22419
1001,BMW Showroom 1,2024-02,BMW X7,2,206063
1001,BMW Showroom 1,2024-02,BMW M440i,11,384906
1001,BMW Showroom 1,2024-02,BMW i7,7,834
1001,BMW Showroom 1,2024-03,BMW 320i,6,224006
1001,BMW Showroom 1,2024-03,BMW 330i,6,493244
1001,BMW Showroom 1,2024-03,BMW 530i,6,2413
1001,BMW Showroom 1,2024-03,BMW X3,1,251753
1001,BMW Showroom 1,2024-03,BMW X5,2,133177
1001,BMW Showroom 1,2024-03,BMW X7,8,390447
1001,BMW Showroom 1,2024-03,BMW M440i,2,114897
1001,BMW Showroom 1,2024-03,BMW i7,8,168751
1001,BMW Showroom 1,2024-04,BMW 320i,12,245993
1001,BMW Showroom 1,2024-04,BMW 330i,8,79731
1001,BMW Showroom 1,2024-04,BMW 530i,13,327275
1001,BMW Showroom 1,2024-04,BMW X3,8,277906
1001,BMW Showroom 1,2024-04,BMW X5,6,116854
1001,BMW Showroom 1,2024-04,BMW X7,14,320847
1001,BMW Showroom 1,2024-04,BMW M440i,10,63079
1001,BMW Showroom 1,2024-04,BMW i7,9,263358
1001,BMW Showroom 1,2024-05,BMW 320i,3,310258
1001,BMW Showroom 1,2024-05,BMW 330i,2,325374
1001,BMW Showroom 1,2024-05,BMW 530i,11,164052
1001,BMW Showroom 1,2024-05,BMW X3,10,471022
1001,BMW Showroom 1,2024-05,BMW X5,13,37792
1001,BMW Showroom 1,2024-05,BMW X7,9,387410
1001,BMW Showroom 1,2024-05,BMW M440i,13,136213
1001,BMW Showroom 1,2024-05,BMW i7,2,104292
1001,BMW Showroom 1,2024-06,BMW 320i,8,13777
1001,BMW Showroom 1,2024-06,BMW 330i,10,316847
1001,BMW Showroom 1,2024-06,BMW 530i,1,309963
1001,BMW Showroom 1,2024-06,BMW X3,5,134917
1001,BMW Showroom 1,2024-06,BMW X5,10,23290
1001,BMW Showroom 1,2024-06,BMW X7,7,423915
1001,BMW Showroom 1,2024-06,BMW M440i,12,360826
1001,BMW Showroom 1,2024-06,BMW i7,13,380161
1001,BMW Showroom 1,2024-07,BMW 320i,8,319233
1001,BMW Showroom 1,2024-07,BMW 330i,12,409824
1001,BMW Showroom 1,2024-07,BMW 530i,9,197345
1001,BMW Showroom 1,2024-07,BMW X3,11,78006
1001,BMW Showroom 1,2024-07,BMW X5,7,218980
1001,BMW Showroom 1,2024-07,BMW X7,5,276923
1001,BMW Showroom 1,2024-07,BMW M440i,0,225902
1001,BMW Showroom 1,2024-07,BMW i7,5,283774
1001,BMW Showroom 1,2024-08,BMW 320i,7,115436
1001,BMW Showroom 1,2024-08,BMW 330i,2,413151
1001,BMW Showroom 1,2024-08,BMW 530i,10,284928
1001,BMW Showroom 1,2024-08,BMW X3,10,154099
1001,BMW Showroom 1,2024-08,BMW X5,0,451069
1001,BMW Showroom 1,2024-08,BMW X7,7,67359
1001,BMW Showroom 1,2024-08,BMW M440i,4,340752
1001,BMW Showroom 1,2024-08,BMW i7,13,277255
1001,BMW Showroom 1,2024-09,BMW 320i,8,260393
1001,BMW Showroom 1,2024-09,BMW 330i,1,381064
1001,BMW Showroom 1,2024-09,BMW 530i,7,387158
1001,BMW Showroom 1,2024-09,BMW X3,2,329457
1001,BMW Showroom 1,2024-09,BMW X5,6,417230
1001,BMW Showroom 1,2024-09,BMW X7,4,308533
1001,BMW Showroom 1,2024-09,BMW M440i,3,411377
1001,BMW Showroom 1,2024-09,BMW i7,8,400706
1001,BMW Showroom 1,2024-10,BMW 320i,11,238269
1001,BMW Showroom 1,2024-10,BMW 330i,6,35757
1001,BMW Showroom 1,2024-10,BMW 530i,7,98273
1001,BMW Showroom 1,2024-10,BMW X3,13,58645
1001,BMW Showroom 1,2024-10,BMW X5,10,321199
1001,BMW Showroom 1,2024-10,BMW X7,7,402214
1001,BMW Showroom 1,2024-10,BMW M440i,10,363170
1001,BMW Showroom 1,2024-10,BMW i7,0,181549
1001,BMW Showroom 1,2024-11,BMW 320i,5,222343
1001,BMW Showroom 1,2024-11,BMW 330i,5,29092
1001,BMW Showroom 1,2024-11,BMW 530i,10,368987
1001,BMW Showroom 1,2024-11,BMW X3,7,312865
1001,BMW Showroom 1,2024-11,BMW X5,14,359147
1001,BMW Showroom 1,2024-11,BMW X7,14,317712
1001,BMW Showroom 1,2024-11,BMW M440i,0,364206
1001,BMW Showroom 1,2024-11,BMW i7,13,313651
1001,BMW Showroom 1,2024-12,BMW 320i,5,129999
1001,BMW Showroom 1,2024-12,BMW 330i,12,244744
1001,BMW Showroom 1,2024-12,BMW 530i,0,272827
1001,BMW Showroom 1,2024-12,BMW X3,0,102364
1001,BMW Showroom 1,2024-12,BMW X5,12,164244
1001,BMW Showroom 1,2024-12,BMW X7,9,64340
1001,BMW Showroom 1,2024-12,BMW M440i,4,11017
1001,BMW Showroom 1,2024-12,BMW i7,5,261879
1002,BMW Showroom 2,2024-01,BMW 320i,2,470136
1002,BMW Showroom 2,2024-01,BMW 330i,12,409664
1002,BMW Showroom 2,2024-01,BMW 530i,3,209720
1002,BMW Showroom 2,2024-01,BMW X3,14,227629
1002,BMW Showroom 2,2024-01,BMW X5,7,437769
1002,BMW Showroom 2,2024-01,BMW X7,8,262512
1002,BMW Showroom 2,2024-01,BMW M440i,8,35010
1002,BMW Showroom 2,2024-01,BMW i7,10,35851
1002,BMW Showroom 2,2024-02,BMW 320i,9,418712
1002,BMW Showroom 2,2024-02,BMW 330i,0,389296
1002,BMW Showroom 2,2024-02,BMW 530i,8,78858
1002,BMW Showroom 2,2024-02,BMW X3,13,37493
1002,BMW Showroom 2,2024-02,BMW X5,3,167462
1002,BMW Showroom 2,2024-02,BMW X7,4,354521
1002,BMW Showroom 2,2024-02,BMW M440i,13,410423
1002,BMW Showroom 2,2024-02,BMW i7,7,22912
1002,BMW Showroom 2,2024-03,BMW 320i,7,495733
1002,BMW Showroom 2,2024-03,BMW 330i,3,187644
